plm,dataset,feature_set,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,pr_auc_chance
ProtTrans,full,diff_eos,0.2866558159009234,0.03011910917639893,0.5404946956980646,0.03644521631348937,0.25067980965329706
ProtTrans,full,diff_mutpos,0.2770382518114015,0.013143236983463265,0.5319504459652897,0.01664883988256938,0.25067980965329706
ProtTrans,full,diff_mean,0.2898261118269006,0.01646640828656501,0.5440956008635915,0.018167664481875016,0.25067980965329706
ProtTrans,full,confound_baseline,0.44919667943396746,0.01940347262159463,0.6983883337283803,0.010628063970976738,0.25067980965329706
ProtTrans,full,substitution_baseline,0.27548169366581854,0.010285029534592476,0.5424292792724157,0.010253229656625186,0.25067980965329706
ProtTrans,9mer,diff_eos,0.370817199096077,0.018865600147237295,0.5221362700602757,0.015744601085676258,0.33202486097481193
ProtTrans,9mer,diff_mutpos,0.35120255685503354,0.010117892177673797,0.5136254495288295,0.003907674388785058,0.33202486097481193
ProtTrans,9mer,diff_mean,0.3678107285129729,0.015460151699336577,0.5264804206349007,0.013499508033853597,0.33202486097481193
ProtTrans,9mer,confound_baseline,0.486542426710198,0.026188201842152866,0.6587567461852041,0.021589370214389548,0.33202486097481193
ProtTrans,9mer,substitution_baseline,0.37070966790172144,0.013842330748236637,0.5459704331467143,0.024690257613231334,0.33202486097481193
ProtTrans,9mer_HLA_A02,diff_eos,0.405940107664055,0.049158893130119535,0.5124312806743078,0.046830648785396854,0.3780487804878049
ProtTrans,9mer_HLA_A02,diff_mutpos,0.3950749040455528,0.03033236971352009,0.49652553524248927,0.03225383610333454,0.3780487804878049
ProtTrans,9mer_HLA_A02,diff_mean,0.45660792243665477,0.0430483376698932,0.5752505000006919,0.02155488459561897,0.3780487804878049
ProtTrans,9mer_HLA_A02,confound_baseline,0.3780110497237569,0.02160749063534413,0.5,0.0,0.3780487804878049
ProtTrans,9mer_HLA_A02,substitution_baseline,0.40674298927628066,0.05848896171662034,0.5238605006956594,0.03553668896200383,0.3780487804878049
