plm,dataset,feature_set,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,pr_auc_chance
ESM2,full,diff_bos,0.32135336906937856,0.010566690859432099,0.5763592697438966,0.011549925236086262,0.25067980965329706
ESM2,full,diff_eos,0.3206506411217712,0.013520162109837374,0.5845478424119587,0.01171870965592571,0.25067980965329706
ESM2,full,diff_mutpos,0.352156136054954,0.023136461058973164,0.6066349166016318,0.02202158977382355,0.25067980965329706
ESM2,full,diff_mean,0.3363302137229016,0.013739750526802284,0.5978198810920079,0.014163212051720532,0.25067980965329706
ESM2,9mer,diff_bos,0.36431043405725344,0.019145289696562116,0.5432777765761501,0.018874917343059537,0.33202486097481193
ESM2,9mer,diff_eos,0.3615102006267783,0.012434018281282757,0.5287238224086112,0.01376984219004642,0.33202486097481193
ESM2,9mer,diff_mutpos,0.37386840836192403,0.008765079858780118,0.5512517787668555,0.012359900324218494,0.33202486097481193
ESM2,9mer,diff_mean,0.3646873137730545,0.009169219433569431,0.5438278567355244,0.008454420771987494,0.33202486097481193
ESM2,9mer_HLA_A02,diff_bos,0.4040094743100485,0.05625160940590226,0.5232321773328266,0.05126988383579661,0.3780487804878049
ESM2,9mer_HLA_A02,diff_eos,0.40005412020251774,0.027616853350410323,0.5259504777968255,0.03177237230922975,0.3780487804878049
ESM2,9mer_HLA_A02,diff_mutpos,0.4391597921875531,0.06861635450257413,0.5519975785406273,0.0572180398974315,0.3780487804878049
ESM2,9mer_HLA_A02,diff_mean,0.4408631481472153,0.06794113154791195,0.5390267169203643,0.03901370759741271,0.3780487804878049
